time,I
0.117,137.62
0.315,137.67
0.517,137.99
0.712,137.33
0.911,137.3
1.109,137.67
1.307,139.05
1.509,143.63
1.705,147.8
1.9,147.25
2.103,149.84
2.299,149.55
2.495,149.47
2.695,149.84
2.89,154.65
3.09,176.29
3.29,176.58
3.484,177.5
3.883,176.58
4.078,175.98
4.275,155.34
4.476,152.06
4.671,152.11
4.87,154.13
5.066,155.1
5.264,156.2
5.463,156.57
5.659,156.86
6.055,157.18
6.256,157.27
6.45,157.86
6.647,157.18
6.845,157.27
7.245,157.86
7.837,156.94
8.428,157.18
8.627,156.94
8.824,157.18
9.616,158.1
9.818,157.27
10.009,157.18
11.001,157.78
11.2,157.18
11.397,158.1
11.593,157.18
12.383,157.78
12.585,157.18
14.368,157.5
14.561,157.78
14.759,156.86
14.958,157.18
15.352,156.86
15.549,157.18
17.53,156.86
17.728,157.18
18.125,156.86
19.117,157.18
19.509,156.86
19.703,157.18
20.303,156.86
20.497,157.18
20.891,156.86
21.091,157.58
21.289,157.18
21.686,156.86
22.275,157.18
22.672,156.86
23.068,157.18
24.059,156.86
24.451,157.18
24.65,156.86
25.046,157.18
25.639,156.86
26.43,157.18
26.629,156.86
26.825,157.18
27.036,156.86
27.617,157.18
27.817,156.86
28.61,157.58
28.803,157.18
29.201,157.58
29.402,156.86
29.594,157.18
29.794,157.58
30.188,156.86
30.585,157.18
30.782,157.58
30.98,156.86
33.553,157.58
33.755,156.86
33.951,157.58
34.146,156.86
34.74,156.54
34.939,157.58
35.135,156.86
35.331,157.58
35.53,156.86
35.727,157.26
36.323,156.54
36.52,156.86
36.721,157.58
37.117,157.26
37.309,157.58
37.705,156.86
38.101,157.58
38.892,156.86
39.093,157.58
39.683,156.86
39.882,157.58
40.475,157.26
40.673,157.49
40.875,157.26
41.071,156.54
41.268,157.81
41.469,157.58
42.258,157.26
42.653,156.98
42.848,157.58
43.05,157.81
43.244,156.86
43.639,156.98
43.839,156.66
44.036,157.26
44.237,157.81
44.433,157.26
44.631,157.58
44.835,157.81
45.025,157.26
45.221,157.81
45.421,157.26
45.816,157.49
46.014,156.98
46.213,157.81
46.409,157.58
46.803,157.81
47.201,157.58
47.398,157.81
47.794,157.26
48.189,157.58
48.385,157.49
48.786,157.81
49.177,157.58
49.376,157.49
49.77,157.81
50.166,157.58
50.366,157.49
50.563,157.26
50.762,156.77
50.96,157.58
51.551,157.49
52.34,157.81
52.935,157.49
53.133,157.26
53.329,157.81
53.529,157.49
54.521,157.81
54.717,157.49
54.911,157.81
55.113,157.49
55.705,157.26
55.905,157.49
56.099,157.26
56.297,157.49
56.496,156.9
56.89,157.49
57.486,156.9
58.078,157.49
58.671,157.17
58.87,157.49
59.067,156.9
59.267,156.57
59.462,156.9
59.661,157.49
60.054,156.66
60.253,156.9
60.452,157.49
60.649,156.57
60.848,156.9
61.043,157.49
61.241,156.9
61.444,157.49
61.637,156.9
62.431,157.49
62.627,156.9
63.22,156.57
63.42,156.9
64.608,157.49
64.806,156.57
65.001,157.49
65.198,156.9
65.597,156.57
65.791,156.9
66.188,157.49
66.384,156.9
66.582,157.49
66.78,156.57
66.98,157.49
67.574,156.9
67.77,157.49
68.759,156.9
69.749,157.49
70.54,157.17
70.737,157.49
71.536,157.17
71.724,156.57
71.922,157.49
72.319,157.17
72.517,156.57
72.72,156.9
72.91,156.57
73.313,156.9
73.704,157.17
73.902,156.57
74.104,157.17
74.297,157.49
74.499,157.17
74.691,156.57
74.893,156.9
75.089,156.57
75.686,157.49
75.882,156.9
76.077,156.57
76.276,156.9
76.474,156.57
76.87,157.17
77.067,156.57
77.265,157.17
77.468,157.49
77.658,156.57
77.858,156.9
78.256,156.57
78.648,157.26
78.847,156.57
79.244,157.49
79.446,156.9
79.637,156.57
80.037,156.9
80.229,157.49
80.43,156.57
80.627,156.9
81.021,156.57
81.224,156.9
81.422,156.57
81.615,156.9
81.812,157.49
82.009,156.9
82.211,156.57
82.41,156.9
82.604,156.57
83.197,156.9
83.594,156.57
84.383,156.9
84.587,156.57
84.786,156.9
85.174,156.57
85.768,156.9
85.977,156.57
86.164,156.9
86.367,157.49
86.56,156.57
87.164,156.9
87.349,156.57
91.506,157.17
91.704,156.57
97.639,156.9
98.035,156.57
98.233,156.9
98.437,156.57
100.804,156.81
101.001,156.57
102.188,157.49
102.386,156.9
102.582,156.57
103.179,156.81
103.374,156.57
103.576,156.81
103.967,156.57
105.947,156.81
106.146,156.57
106.541,156.81
106.737,156.57
108.121,156.25
108.321,156.57
108.52,156.81
108.916,156.57
109.112,156.25
109.312,156.81
109.509,156.57
109.706,156.81
109.902,156.57
110.497,156.25
110.698,156.57
111.1,156.25
111.289,156.57
112.079,156.81
112.277,156.57
113.069,156.25
113.464,156.81
113.86,156.57
114.256,156.49
114.456,156.81
114.652,156.57
114.85,156.81
115.046,156.57
115.441,156.81
115.644,156.49
115.842,156.81
116.037,156.49
116.232,156.57
116.434,156.81
116.629,156.25
117.224,156.57
117.419,156.25
117.618,156.57
118.606,156.25
118.809,156.57
119.203,156.25
119.991,156.57
120.387,156.25
121.178,156.57
121.374,156.25
121.771,156.57
121.97,156.25
123.75,156.57
124.147,156.25
124.943,156.57
125.341,156.25
125.729,156.57
125.926,156.25
126.719,156.57
127.31,156.25
127.711,156.57
128.103,156.25
128.301,156.57
128.499,156.25
128.696,156.57
128.894,156.25
130.081,156.49
130.279,156.25
130.477,156.57
130.672,156.25
131.27,156.49
131.663,156.25
132.06,156.49
132.256,156.25
133.245,156.57
133.444,156.49
134.236,156.25
134.439,156.57
134.631,156.25
135.027,156.49
135.629,156.25
135.818,156.49
136.014,156.57
136.216,156.25
136.609,156.49
136.806,156.25
137.003,156.49
137.4,156.57
137.598,156.49
137.797,156.25
137.993,156.49
138.193,156.25
138.388,157.17
138.586,156.25
138.787,156.49
138.981,156.57
139.179,156.49
139.577,156.25
139.771,156.49
140.169,156.25
140.365,156.49
140.76,156.25
141.158,156.49
141.355,156.25
141.952,156.49
142.15,156.25
142.737,156.49
142.937,156.25
143.134,156.49
143.53,157.21
143.728,156.49
143.925,156.17
144.122,156.49
145.114,156.25
146.099,156.49
146.497,156.25
146.706,156.49
147.291,156.25
147.489,156.49
147.686,156.25
148.08,156.49
148.279,156.25
148.474,156.49
148.671,156.25
148.871,156.49
149.469,156.25
150.456,156.49
150.85,156.25
151.046,157.21
151.245,156.17
151.446,156.25
151.64,156.17
151.837,156.49
152.036,157.21
152.628,156.49
154.612,155.93
154.806,156.49
155.202,156.25
155.595,155.57
155.794,156.49
156.59,157.21
156.786,156.49
158.563,156.89
158.958,157.21
159.16,156.17
159.354,156.49
159.95,156.17
160.144,156.89
160.345,156.17
160.542,156.89
160.743,156.49
160.937,156.17
161.331,156.49
161.928,157.21
162.321,156.49
162.915,156.89
163.112,156.49
163.311,156.25
163.509,156.49
163.705,157.21
163.904,156.17
164.105,156.49
164.497,156.17
164.7,157.21
164.895,156.49
165.093,157.21
165.288,156.49
165.882,156.25
166.078,156.17
166.28,155.93
166.475,156.25
166.677,156.17
166.87,156.89
167.07,156.17
167.271,156.49
167.462,156.17
167.661,156.89
167.861,156.17
168.061,156.89
168.257,156.17
169.642,156.89
170.036,156.17
170.433,155.57
170.625,156.89
170.824,156.25
171.024,156.89
171.222,156.17
172.02,156.89
172.805,155.57
173.003,155.97
173.199,156.89
173.402,156.29
173.597,156.89
173.795,156.29
173.997,156.89
174.189,156.57
174.388,156.29
174.781,156.89
174.979,156.29
175.178,155.97
175.374,156.29
175.576,156.89
175.77,155.97
175.976,156.89
176.164,155.97
176.56,156.89
176.759,155.97
176.956,156.89
177.157,156.29
177.746,155.97
180.121,156.29
180.321,155.97
180.717,156.57
180.913,156.89
181.11,155.97
181.507,156.89
181.705,155.97
182.103,156.57
182.297,156.29
182.496,155.97
182.693,156.57
182.892,155.97
183.09,156.57
183.287,155.97
185.064,156.57
185.265,155.97
187.243,156.69
187.44,156.29
187.639,155.97
188.627,155.65
188.826,155.97
189.418,156.69
189.617,156.37
189.814,155.97
190.21,156.69
190.605,155.97
190.998,156.69
191.2,155.97
191.396,156.37
192.785,155.97
193.178,156.37
193.378,156.69
193.574,155.97
193.77,156.37
193.967,156.69
194.167,155.97
194.366,156.69
194.758,155.97
194.958,156.37
195.552,156.69
195.949,155.97
196.148,156.6
196.34,156.69
196.54,155.97
196.739,156.37
197.727,155.65
197.927,155.97
198.121,155.33
198.319,155.65
198.516,156.37
198.715,155.65
198.914,156.37
199.309,155.77
199.51,156.37
199.901,155.97
200.1,156.37
200.301,155.65
200.494,156.37
200.893,156.69
201.093,155.97
201.287,156.37
203.267,155.77
203.47,156.05
203.669,155.77
203.857,156.05
204.056,156.37
204.848,155.77
205.048,156.37
205.243,156.01
205.64,156.37
205.837,155.68
206.036,156.37
206.234,156.6
206.428,155.77
206.63,156.05
