time,I
313.66,17.33
314.254,17.01
318.809,16.41
319.006,16.09
319.601,16.33
320.988,16.01
322.573,15.68
322.77,16.41
322.967,16.04
323.165,15.72
324.353,15.4
325.541,15.64
325.743,15.4
325.939,15.64
326.137,15.4
330.494,15.31
330.89,14.72
332.274,14.4
332.473,15.12
337.224,14.8
337.422,15.12
337.619,14.8
339.996,15.03
341.386,14.11
341.581,14.71
341.778,14.11
343.167,13.79
345.544,14.03
345.738,13.79
345.938,14.03
346.133,13.7
346.529,14.03
346.925,13.7
349.304,14.43
349.499,13.7
350.49,14.43
351.679,13.51
354.056,13.74
354.258,13.42
359.401,13.1
360.589,12.5
361.58,12.41
361.779,12.18
362.175,12.41
362.572,12.18
362.963,12.41
363.757,12.18
363.953,12.5
364.153,12.74
364.55,12.5
366.133,12.74
366.33,12.5
366.53,12.74
366.726,12.41
369.302,12.81
369.5,12.09
369.698,12.81
372.072,12.49
372.468,12.73
372.667,12.49
373.062,12.73
378.214,12.13
378.411,12.73
378.608,12.13
379.4,12.73
379.598,12.13
381.971,11.81
382.173,12.13
382.372,11.81
386.133,11.72
386.335,12.04
386.533,11.49
386.732,11.72
393.865,11.4
395.246,10.8
395.441,11.4
395.841,10.8
397.027,11.53
397.224,11.2
397.423,10.48
397.619,11.44
400.002,11.12
400.195,11.44
401.979,10.72
402.77,11.44
402.967,10.72
403.163,11.44
403.363,10.72
403.759,11.44
404.747,10.72
404.946,11.44
407.915,11.12
409.697,11.35
410.492,11.03
410.687,11.35
412.075,11.12
412.273,11.35
412.668,11.12
412.864,11.35
413.658,11.12
414.249,11.35
414.448,11.12
414.645,11.35
414.846,11.12
415.438,11.35
415.639,11.12
416.033,11.35
416.429,11.12
417.022,11.35
417.222,11.12
417.419,11.35
418.211,11.03
421.379,10.43
421.975,11.03
422.567,10.43
423.956,10.11
425.538,10.71
425.735,10.11
428.31,10.35
430.489,10.03
430.686,10.35
430.884,10.03
434.446,10.35
436.428,10.03
439.2,9.7
439.398,10.43
441.379,10.66
441.575,10.43
441.777,10.66
441.972,10.43
443.555,10.66
443.756,10.43
444.546,10.66
444.744,10.43
445.536,10.66
446.129,10.43
