time,I
170.974,86.54
171.179,86.46
172.16,86.54
172.355,86.22
172.753,86.46
174.534,86.13
175.721,86.46
176.316,86.13
176.709,86.46
177.105,86.13
177.304,86.86
177.5,86.13
178.291,86.86
178.49,86.26
178.69,85.86
178.883,86.86
179.083,86.13
179.279,86.26
179.483,86.13
179.675,86.26
180.268,85.54
180.466,86.26
181.064,86.86
181.652,86.26
181.852,85.22
182.047,86.26
182.248,85.94
182.444,86.49
183.041,86.26
183.237,86.49
183.433,86.26
183.633,86.17
184.027,85.94
184.227,86.17
187.984,85.85
188.191,86.17
189.57,85.85
189.76,86.17
190.555,85.85
194.116,86.09
194.319,85.76
194.51,86.09
194.709,85.76
194.906,86.09
195.304,85.76
195.501,85.17
195.699,85.76
196.293,85.17
196.49,85.76
196.696,85.17
196.883,85.76
199.863,84.85
200.051,85.17
200.842,84.85
201.04,85.17
201.238,84.85
201.836,85.17
202.029,84.85
203.414,85.08
203.612,84.85
204.403,85.08
205.589,84.85
206.581,85.08
207.174,84.76
207.37,85.08
207.57,85.8
207.963,85.48
208.165,84.76
208.361,85.48
208.557,84.76
209.351,85.08
209.546,85.48
209.743,84.76
210.337,85.48
210.532,84.76
210.732,85.48
210.932,84.76
211.126,85.48
211.328,84.76
211.92,85.48
212.517,84.76
213.304,85.48
214.094,84.76
214.294,85.48
214.49,85.16
214.689,85.48
215.679,84.76
215.876,84.44
216.074,85.16
216.27,85.48
216.668,85.16
217.261,85.48
217.458,85.39
217.652,85.16
219.639,85.39
219.836,84.76
220.03,85.39
220.425,85.16
220.828,85.39
221.017,84.8
222.806,84.47
230.316,84.15
230.528,84.39
230.713,84.47
230.914,84.71
231.109,84.15
231.31,84.47
231.505,84.15
231.704,84.47
232.1,84.15
232.494,84.47
233.484,84.15
233.681,84.47
234.674,84.15
234.867,84.47
235.463,84.15
235.659,84.47
238.232,84.15
238.428,84.47
239.023,84.39
239.221,84.15
239.418,84.47
239.813,84.39
240.012,84.47
240.605,84.15
240.801,84.47
241.595,84.15
241.791,84.47
242.584,84.15
242.78,84.47
243.571,84.39
243.966,84.47
244.168,84.15
244.361,84.39
244.563,84.47
244.757,84.15
244.959,84.47
245.155,84.39
245.746,84.15
245.946,84.39
246.143,84.71
246.341,84.39
246.537,84.71
246.737,84.39
250.501,84.07
250.692,84.39
251.881,84.07
252.077,84.39
252.473,84.07
252.671,84.39
252.869,84.07
253.067,84.39
253.658,84.07
256.824,84.39
257.022,84.07
257.417,83.7
257.617,84.07
261.968,84.39
262.563,84.07
262.959,84.39
263.156,84.07
263.353,84.39
263.558,84.07
266.917,84.3
267.309,84.07
