time,I
0.075,152.3
0.272,154.6
0.472,155.2
1.065,155.29
1.264,154.57
1.669,154.89
1.863,154.57
2.063,154.8
2.463,155.29
2.654,154.57
2.855,154.89
3.051,154.57
3.253,155.29
3.446,154.8
3.647,155.29
3.843,155.53
4.042,155.2
4.241,154.28
4.441,154.2
4.635,153.91
4.837,152.9
5.033,150.95
5.232,152.25
5.428,145.66
5.627,140.92
5.826,130.67
6.025,128.63
6.222,131.4
6.422,122.37
6.621,111.12
6.816,106.99
7.018,87.48
7.211,146.73
7.412,149.04
7.607,153.07
7.804,153.99
8.006,152.67
8.208,153.99
8.401,154.36
8.595,153.04
8.8,153.27
8.994,152.38
9.391,152.75
9.599,153.68
9.787,154.77
9.986,155.14
10.183,155.43
10.382,156.2
10.58,156.52
10.777,156.49
10.976,157.13
11.175,157.22
11.575,157.41
11.769,157.09
11.974,157.41
12.767,157.09
13.159,157.41
13.357,157.09
13.552,157.41
13.751,157.09
15.138,157.41
15.338,157.09
15.535,157.41
16.723,157.81
16.923,157.09
17.119,157.41
17.517,157.09
17.914,157.41
18.112,157.09
18.308,157.41
18.704,157.09
18.904,157.41
19.106,157.09
19.3,157.41
19.5,157.09
20.292,156.49
20.49,157.41
20.687,156.49
20.886,157.81
21.082,156.49
21.28,157.09
21.479,157.41
21.677,156.49
21.874,157.09
22.272,156.49
22.668,157.81
22.869,156.49
23.064,157.22
23.262,156.49
24.257,157.09
24.451,157.81
24.652,157.22
24.848,156.49
25.047,157.22
25.839,156.49
26.036,157.09
26.243,157.49
26.433,156.49
26.636,157.22
27.032,156.49
27.426,157.22
27.622,156.49
27.822,157.22
28.02,156.49
28.416,157.09
28.614,156.49
29.21,157.09
30.399,157.22
30.596,156.49
30.793,157.09
30.994,156.49
31.387,157.13
31.786,157.45
31.983,157.22
32.183,156.9
32.577,157.45
32.775,156.49
32.975,157.22
33.569,156.9
33.766,156.49
33.963,157.22
34.36,156.49
34.567,156.9
34.757,157.22
34.958,156.49
35.747,157.09
35.945,156.49
36.145,156.82
36.341,156.49
36.539,157.22
36.737,156.49
37.73,157.22
37.928,156.49
38.124,157.22
38.727,156.49
39.122,157.22
39.316,156.73
39.71,157.22
40.306,157.45
40.502,157.22
40.703,157.13
40.898,157.22
41.294,157.13
41.493,156.9
41.691,157.13
41.888,156.9
42.09,157.13
42.484,156.41
42.681,157.13
44.069,158.05
44.27,156.73
44.465,157.13
44.664,157.45
44.86,157.22
45.062,156.9
45.263,157.13
45.455,157.22
45.653,157.13
46.25,157.45
46.446,156.41
46.643,157.13
46.843,157.22
47.039,156.73
47.239,157.13
47.436,157.22
47.633,156.41
47.834,157.13
48.031,157.45
48.231,156.41
48.425,157.13
50.013,157.45
50.21,157.13
51.001,157.45
51.595,157.13
53.382,157.45
53.578,157.13
54.175,156.81
54.569,157.04
54.77,156.81
56.751,157.04
57.15,156.72
57.347,156.81
57.543,156.12
57.74,156.72
57.936,156.12
58.333,156.81
59.918,157.04
60.118,156.81
63.877,157.13
64.471,156.81
65.265,157.13
65.855,156.81
66.845,157.13
67.042,156.81
68.031,157.13
68.231,156.81
68.821,157.13
69.019,156.81
69.416,157.13
69.615,156.81
69.811,156.49
70.008,156.81
73.174,156.49
73.768,155.89
73.967,156.81
74.163,156.49
74.363,156.81
74.957,156.49
75.156,156.81
76.539,156.21
76.735,156.12
76.932,156.52
77.129,155.8
77.33,156.52
77.927,155.8
78.124,156.12
78.319,155.89
78.711,156.49
79.108,156.72
79.31,155.89
79.705,156.12
79.9,156.72
80.298,156.12
80.693,156.72
80.888,156.81
81.089,156.21
81.284,156.81
81.68,157.04
81.883,155.89
82.074,156.72
82.284,156.12
82.47,156.72
82.669,156.81
82.865,156.21
83.064,156.49
83.263,156.21
83.459,156.12
83.658,156.49
83.854,156.81
84.252,156.21
84.448,156.49
84.647,156.81
84.843,156.12
85.241,155.89
85.438,156.81
85.634,155.89
85.832,156.72
86.032,156.49
86.227,156.72
86.623,155.89
86.822,156.12
87.416,155.89
87.614,156.12
87.81,156.21
88.011,156.12
88.209,155.8
88.601,156.12
89.788,155.8
89.985,156.12
91.173,155.89
91.372,156.12
92.953,155.89
93.15,156.12
94.734,155.8
94.935,156.12
95.524,155.8
95.726,156.12
96.118,155.8
96.518,156.12
96.91,155.8
97.305,156.12
97.51,156.52
97.701,155.8
97.904,156.85
98.097,156.52
98.492,156.12
98.698,155.8
98.889,156.52
99.677,156.85
99.876,156.52
100.273,155.8
100.47,156.52
100.864,155.8
101.066,156.52
101.457,156.2
101.854,156.52
102.05,156.2
102.446,156.52
102.648,156.2
103.635,156.44
104.027,156.52
104.228,156.2
107.197,155.88
107.392,156.2
107.59,155.61
107.791,156.2
107.987,155.28
108.383,155.61
108.579,155.28
108.778,156.2
108.974,156.93
109.174,156.2
109.37,155.61
109.569,156.2
109.963,155.88
110.36,156.12
110.56,155.88
110.755,156.01
110.954,155.56
111.151,155.68
111.347,155.88
111.748,155.92
111.944,155.52
112.14,155.28
112.536,155.92
112.733,155.28
113.129,155.92
113.721,155.68
114.119,155.92
114.711,155.2
114.909,155.92
115.307,155.6
115.505,155.92
115.9,155.6
116.689,155.92
117.085,155.6
117.284,155.92
117.484,155.6
117.68,155.92
117.877,155.6
118.074,155.92
118.272,155.6
118.47,155.92
118.669,155.68
118.864,155.6
120.055,155.92
120.447,155.6
120.844,155.92
121.041,155.6
121.438,155.92
121.636,155.6
121.839,155
122.029,155.6
122.424,154.68
123.019,155.6
123.217,154.68
123.415,155.6
124.011,155
124.798,155.6
125.194,155.28
125.393,155.6
125.591,156
125.792,156.32
126.381,155.72
126.578,155.6
126.776,155.72
126.98,155.4
127.172,155.6
127.37,155.28
127.572,155.4
127.768,154.68
127.964,155.4
128.362,154.68
128.555,155.4
128.755,155.08
128.953,154.99
129.15,155.31
129.348,154.99
130.146,155.08
130.337,154.76
130.536,155.08
131.725,154.36
132.118,155.08
132.711,154.76
132.907,155.08
133.105,155.31
133.305,155.08
134.687,154.16
134.887,155.08
135.282,155.31
135.479,155.8
135.684,154.76
136.077,154.4
136.273,155.71
136.469,154.76
136.666,155.71
137.26,155.48
137.459,155.12
137.654,155.71
137.855,154.16
138.051,155.48
138.446,154.4
138.653,155.12
139.632,154.8
140.422,154.47
140.621,154.8
142.998,154.47
145.176,153.88
145.373,154.28
145.573,154.15
145.769,154.28
145.968,155.2
146.164,154.28
146.367,153.79
146.559,154.51
147.352,154.19
147.747,154.28
147.947,154.19
148.141,153.96
148.537,154.28
148.933,154.19
149.134,154.28
149.529,153.96
149.723,154.19
149.921,154.28
150.12,154.51
150.318,154.28
150.911,154.51
151.109,153.96
151.504,154.19
152.891,153.87
153.288,154.19
153.485,153.87
153.878,154.19
154.077,154.59
154.472,153.87
154.669,154.59
154.866,153.87
155.262,153.99
155.659,153.67
155.864,153.99
156.45,153.67
157.833,153.35
158.034,153.59
158.229,153.26
158.432,153.59
159.021,153.26
159.22,153.59
159.418,152.67
159.616,153.39
159.815,153.07
160.009,153.26
160.209,153.39
160.603,153.99
160.804,153.03
161,153.39
161.398,153.75
161.593,153.39
161.79,153.71
161.989,153.59
162.185,153.39
162.385,153.99
162.583,153.39
162.977,153.07
163.372,153.39
163.769,153.07
166.933,152.74
167.131,153.07
167.527,152.74
168.319,153.07
168.516,153.47
169.308,153.15
169.505,153.47
170.298,153.15
170.693,153.47
170.891,152.87
171.087,152.55
171.484,153.15
171.687,152.23
171.878,152.55
172.473,152.23
172.668,152.55
173.065,152.23
173.264,152.55
173.459,152.23
174.053,152.46
174.254,152.23
174.45,152.14
175.043,152.86
175.243,153.18
175.439,152.86
176.426,152.26
176.628,152.54
176.822,151.94
178.602,152.34
178.799,151.62
179,152.34
179.198,152.26
179.393,152.34
179.59,152.58
179.792,152.34
179.986,152.26
180.187,151.66
180.583,151.42
180.779,151.66
181.77,151.34
182.362,151.66
182.756,152.06
182.955,151.66
183.152,151.34
183.351,152.38
183.548,152.06
183.943,151.74
184.34,151.34
184.537,152.06
184.734,151.74
185.525,151.14
185.726,150.42
185.924,151.74
186.321,151.14
186.514,151.38
186.713,151.05
187.109,151.14
187.306,151.74
187.506,151.14
188.097,151.74
188.297,151.14
188.499,150.82
188.891,151.14
189.087,150.82
189.682,151.05
189.878,150.82
190.078,151.05
191.66,150.73
191.867,151.05
192.059,150.73
192.45,151.78
192.65,150.73
192.843,151.45
193.441,150.73
193.636,151.13
193.837,151.45
194.432,151.13
194.824,150.53
195.02,151.13
195.218,150.53
196.405,150.21
196.6,150.53
196.802,150.21
197.196,150.53
197.396,150.21
197.593,150.94
198.186,150.21
198.386,150.61
198.98,150.94
199.571,150.61
199.772,150.25
199.967,150.85
200.164,151.17
200.363,150.61
200.559,150.94
200.76,150.61
200.956,150.25
201.548,150.61
201.747,150.53
201.947,150.85
202.536,150.25
202.737,150.85
203.134,150.25
203.729,149.93
204.12,150.25
204.516,149.93
204.715,150.25
205.308,149.93
207.286,150.65
207.686,149.93
208.075,150.33
208.471,149.93
208.671,149.61
208.868,150.65
209.068,150.33
210.847,150.01
211.043,150.33
211.643,150.01
211.835,150.33
212.035,150.01
212.232,149.41
212.627,149.73
212.825,149.41
213.622,150.01
213.813,149.41
214.011,149.32
214.214,149.65
214.408,149.09
214.605,149.32
215.198,149.41
215.397,149.65
215.791,149.41
215.989,149.09
216.186,149.32
216.385,150.05
216.584,149.32
216.78,150.05
217.571,149.72
217.969,150.05
218.169,149.72
219.353,150.05
219.549,149.72
219.946,150.05
220.143,149.72
221.733,149.4
221.923,149.72
222.717,149.13
223.11,149.72
223.307,149.4
223.506,149.72
223.701,149.4
223.901,149.72
224.297,148.81
224.496,149.4
224.692,149.72
224.889,149.4
225.486,149.72
225.683,149.4
226.077,149.72
226.275,149.4
227.064,148.81
227.266,149.4
227.856,148.81
228.054,149.4
228.253,149.72
228.45,149.4
228.647,149.72
229.243,149.4
229.442,148.81
229.638,149.4
229.834,148.81
230.233,148.48
230.427,148.81
230.626,149.4
230.822,148.81
233.593,148.48
233.792,148.81
234.583,149.76
234.779,149.04
235.184,148.81
235.373,149.21
235.572,148.81
235.967,149.04
236.164,148.81
236.365,148.72
236.561,149.76
236.758,148.81
237.156,148.48
237.55,149.04
237.746,149.76
237.948,149.44
238.142,149.53
238.342,149.76
238.539,148.48
238.736,148.72
238.936,149.44
239.132,149.21
239.329,149.44
239.53,149.21
239.724,149.44
240.121,149.21
240.319,148.48
240.518,149.44
241.109,149.21
241.505,149.44
242.497,149.12
242.691,149.44
243.086,149.12
243.483,149.44
243.878,149.12
244.077,149.44
245.263,149.12
245.46,149.44
245.86,149.12
246.25,149.44
246.451,149.12
247.042,149.44
247.243,149.12
247.833,148.52
248.034,149.21
248.229,149.44
248.823,149.12
249.02,149.44
249.219,149.12
249.417,149.44
249.813,149.12
250.208,149.44
251.398,149.12
252.387,148.84
252.783,148.52
253.177,149.12
253.376,148.52
253.967,148.76
254.167,148.52
254.76,148.8
254.956,149.12
257.534,148.52
257.729,149.12
258.917,148.52
259.311,149.12
259.507,148.8
259.711,148.2
260.497,148.52
260.694,148.2
260.893,148.52
261.288,148.2
261.881,148.52
262.079,148.2
262.475,148.52
262.869,148.2
264.65,148.52
264.847,148.2
265.84,148.92
266.039,148.2
266.826,148.44
267.024,148.2
267.618,148.44
267.821,148.2
268.213,149.16
268.407,148.2
268.804,148.92
269.007,148.2
269.4,148.44
269.597,148.92
269.989,148.2
270.191,148.92
270.387,148.44
270.583,148.2
270.781,148.92
