"","numPoints","y2","y3","t","eT","eTm","dy","cosT","sinT","dyy","dy2","dyy2","ydy","ydyy","dydyy"
"1",10,0,0.494499725864281,-0.173353197149221,-0.503920764868898,0,0,0,0,0,NA,NA,NA,NA,NA
"2",20,0.3901204323118,0.206322985049867,-0.154607492528234,-0.792276755336246,0.0960222469358751,0.624975883012963,0.407514030050634,0.952330866464731,0.36977484314281,NA,NA,NA,NA,NA
"3",30,0.150926830616974,0.220722517187177,-0.0981752001913806,-0.763771596034641,0,0,0.336376358579009,0.173836967349827,0.287904031777281,NA,NA,NA,NA,NA
"4",40,0.206442513806284,0.43249111799579,-0.0542218746095927,-0.575038144161389,-0.0188624679684697,0.213654634721077,0.0325162278901088,0.422854965619749,0.0354259747967817,NA,NA,NA,NA,NA
"5",50,0.226968194049126,0.332818217182025,-0.0626132649594447,-0.675654674115191,-0.0521441002062068,0.316364386111423,0.163643114680516,0.582155457367419,0.164373489472324,NA,NA,NA,NA,NA
"6",60,0.0871721625775157,0.48940239709441,-0.0349691533015624,-0.509290351741184,-0.131505359760307,0.284859499990223,0.115807959660449,0.456996871664312,0.128880966579836,NA,NA,NA,NA,NA
"7",70,0.189462740270362,0.249394480106893,-0.0372235978695504,-0.755606167912627,-0.196428083658045,0.329928769259291,0.0142713609744687,0.682170629324981,0.0290327835340964,NA,NA,NA,NA,NA
"8",80,0.406416378779949,0.33424467691856,-0.0255658969864978,-0.6878450747084,0.0855374386794563,0.31063914847032,-0.0015191260597389,0.618818569375683,0,NA,NA,NA,NA,NA
"9",90,0.207690988822502,0.304866586712139,-0.0264674513732983,-0.706267240679989,-0.132486941550863,0.283852315681979,0.0110976195672875,0.585009490202403,0.0293181728286765,NA,NA,NA,NA,NA
"10",100,0.207246523800435,0.304774803696549,-0.0261320933954497,-0.701091630695491,-0.124659267910891,0.230794842669197,0.0395914454136515,0.54999903877099,0.0228057500043132,NA,NA,NA,NA,NA
