time,I
146.646,154.63
146.842,155.19
147.034,154.95
147.418,154.83
147.611,154.95
149.548,154.87
149.742,154.63
149.933,154.95
150.13,154.63
150.515,154.87
151.489,154.63
151.675,154.87
152.065,154.63
152.257,154.87
153.029,154.55
155.546,154.87
155.738,154.55
157.286,154.78
157.675,154.46
157.866,154.78
158.256,154.55
158.447,154.23
158.642,154.78
159.223,154.46
159.412,153.86
159.992,154.46
160.768,153.86
161.155,154.46
161.542,155.18
161.733,153.86
161.927,155.18
162.122,153.86
162.314,155.18
162.503,154.46
162.697,155.18
162.89,154.46
163.278,155.18
163.469,153.86
163.662,154.46
164.051,153.86
164.245,155.18
164.438,154.46
164.63,154.58
164.824,154.46
165.018,155.18
165.211,153.86
166.168,154.46
166.359,154.78
166.549,154.46
166.931,154.78
167.314,153.86
167.503,154.46
167.886,154.78
168.076,154.46
168.268,153.86
168.648,154.46
168.839,153.86
169.03,154.78
169.22,154.46
169.985,153.86
170.174,154.46
170.366,154.78
170.94,154.46
171.131,153.86
171.706,154.46
171.896,153.86
172.278,154.46
172.851,153.86
173.046,154.46
173.239,153.54
173.435,153.78
173.624,154.26
173.816,154.5
174.009,154.58
174.199,154.14
174.394,154.86
174.586,154.14
174.781,153.78
174.973,154.7
175.168,154.14
175.555,154.86
175.743,153.54
175.938,154.86
176.128,154.26
176.515,154.18
176.709,154.54
176.9,154.14
177.094,154.5
177.482,154.18
177.672,154.37
177.866,153.78
178.059,154.05
178.255,154.18
178.441,154.5
178.636,154.86
178.829,154.5
179.021,154.26
179.604,154.14
179.797,154.5
179.993,154.14
180.182,154.5
180.377,153.78
180.567,154.37
180.759,153.54
180.955,154.5
181.533,154.37
181.722,154.18
182.303,154.5
182.69,154.18
183.077,154.5
183.463,154.18
183.848,154.5
184.042,154.18
185.007,154.5
185.201,153.45
185.393,154.18
185.78,154.5
185.97,154.18
187.328,153.78
187.521,154.5
187.904,154.18
188.294,153.45
188.485,154.5
188.676,154.18
189.066,154.41
189.255,154.18
193.713,154.41
193.907,154.18
194.292,153.86
194.49,154.18
195.069,154.41
195.645,154.18
195.839,153.86
196.033,154.09
196.419,153.86
196.806,154.09
197.193,153.86
197.387,154.41
197.58,154.18
197.771,154.41
197.964,154.09
198.353,154.41
198.739,153.86
198.932,154.09
199.125,154.18
199.316,153.86
199.512,154.18
199.704,153.86
199.897,154.18
200.284,154.41
200.478,154.09
200.67,154.41
200.864,154.09
201.055,153.86
201.25,154.09
201.442,154.18
201.829,154.41
202.407,154.09
202.598,154.18
202.797,154.09
202.989,154.41
203.18,154.09
203.371,153.86
203.564,154.09
204.922,154.41
205.31,154.18
205.5,154.09
205.696,154.41
206.469,153.69
206.661,154.09
207.046,153.49
207.239,154.09
209.176,153.49
209.369,154.09
210.145,153.49
210.338,154.09
210.726,154.41
210.918,154.09
212.465,154.41
212.655,154.09
213.434,154.41
213.626,154.09
216.334,153.77
216.528,154.09
226.204,154.41
226.395,154.09
228.914,154.41
229.109,154.09
230.655,153.49
230.846,154.09
232.781,154.18
232.975,154.09
234.136,154.41
234.325,154.09
234.717,154.41
235.292,154.09
235.483,154.41
235.678,154.33
235.869,154.09
245.361,153.77
245.744,154.09
246.131,153.77
246.521,154.09
246.714,153.77
246.903,154.09
247.098,153.17
247.288,154.09
247.481,153.49
247.675,154.09
248.252,153.77
248.639,154.09
249.223,153.77
249.418,154.09
250.188,153.77
250.38,154.33
250.571,153.77
250.961,154.33
251.153,154.09
251.538,153.77
251.731,154
251.924,153.77
252.311,154.09
252.505,153.77
252.704,154.09
253.47,153.77
253.856,154.09
254.244,153.77
254.437,154
254.632,153.77
254.823,154
255.015,153.77
255.208,154
255.594,153.77
255.789,153.41
255.98,154
256.174,153.41
256.946,154
257.14,153.08
257.335,153.41
257.529,153.68
257.718,154
258.111,153.68
258.297,154
258.687,153.41
259.263,153.08
259.46,153.41
259.843,153.68
260.038,153.08
261.394,153.41
261.588,153.08
262.74,154
262.935,153.41
263.129,153.08
263.322,153.41
263.513,153.08
263.706,153.41
263.9,153.08
264.285,153.41
264.671,153.08
265.063,153.32
265.251,153.08
265.441,153.41
265.829,153.68
266.025,153.41
266.214,153.68
266.412,153.08
266.802,153.68
266.99,153.08
267.182,153.68
267.573,153.08
268.535,153.81
268.733,153.08
269.118,153.68
269.312,153.08
270.282,153.68
270.473,153.32
270.662,153.08
271.247,153.32
271.632,153.08
272.596,153.68
272.787,153.08
273.174,152.76
273.368,153.32
273.56,154
273.752,153.41
273.95,153.68
274.136,153.08
274.721,153.68
274.913,153.08
275.102,153.68
275.296,153.08
277.616,153.32
278.007,153.08
279.357,153.32
279.745,153.08
280.324,153.32
280.902,153.08
281.097,153.32
281.293,153
281.481,153.92
281.674,153.08
281.867,153.32
282.252,153.68
282.447,153.08
282.836,153.32
283.027,153.08
283.219,153.32
283.412,153.08
283.991,152.76
284.185,153.08
284.764,153
284.957,153.08
285.15,153.32
285.344,153.08
286.502,153.32
286.694,153.08
287.274,153
287.467,153.32
287.852,153.08
288.241,152.04
288.431,152.36
288.63,152.76
288.819,153.08
289.012,153.32
289.205,153.08
289.397,153.32
289.595,153.08
289.785,152.76
289.979,153.08
290.17,153
290.556,152.76
290.751,153
290.94,152.76
292.105,153.08
292.49,152.76
292.876,153.08
293.067,153.32
293.263,153.08
293.455,152.76
293.645,153.08
293.833,153.68
294.028,153.32
294.222,153.08
294.414,152.76
294.806,153
294.993,153.08
295.187,153
295.572,152.76
295.767,153.08
295.959,152.76
296.347,153.68
296.539,153.36
296.729,152.76
296.926,153
297.696,153.72
297.887,153
298.083,153.08
298.275,152.76
298.467,153
299.047,153.32
299.241,153
300.014,153.32
300.404,153
300.594,153.92
300.789,153.32
300.978,153
301.367,153.32
301.751,153
302.526,153.32
302.718,153
307.164,153.68
307.357,153
311.036,153.72
311.229,153
312.002,153.32
312.193,153
313.549,153.72
313.744,153
314.521,152.68
314.712,153
317.614,153.72
317.81,153
318.001,152.68
318.197,153.72
318.581,153
319.94,152.68
320.131,153
321.094,153.32
321.29,153
321.479,152.68
322.642,153.4
322.834,152.68
323.028,153
323.217,152.68
323.605,153
323.99,152.68
324.381,152.91
324.568,152.68
324.761,153
325.146,153.4
325.341,153.96
325.534,152.68
325.924,152.91
326.118,153.63
326.305,152.68
326.498,153.96
326.689,153
326.882,153.4
327.075,153.63
327.273,152.91
327.458,152.68
327.652,153.63
328.039,152.68
328.233,153
328.427,152.68
329.392,153.63
329.589,153
329.782,153.63
329.976,152.68
330.169,153
330.361,152.68
330.552,153.63
330.744,152.91
330.94,152.68
331.132,153.63
331.519,153
331.712,152.68
331.904,153.4
332.096,152.68
332.678,152.91
333.837,153.4
334.031,153.63
334.224,152.68
334.416,152.91
334.615,152.68
335.192,153.4
335.383,153
335.58,152.68
335.768,153.63
336.158,152.91
336.351,153.63
336.542,152.91
336.738,153.63
337.315,152.91
337.702,153.63
339.254,152.91
339.446,153.31
339.83,153.63
340.217,153.04
340.408,153.63
340.606,153.31
340.797,153.63
341.184,153.31
341.957,152.68
342.155,153.63
342.343,153.31
342.922,153.63
343.313,153.31
344.469,153.63
344.857,153.31
345.437,152.59
345.628,153.31
345.821,153.63
346.593,152.91
346.783,153.31
346.976,152.91
347.171,152.71
347.361,153.31
347.751,152.91
348.137,153.31
348.911,152.91
349.298,153.63
349.487,152.71
349.682,153.63
350.067,152.91
350.26,153.31
350.649,153.63
350.839,152.91
351.032,153.31
351.422,152.71
351.612,152.91
351.806,153.63
351.997,153.04
352.19,153.31
352.384,153.63
352.576,152.91
352.772,153.63
352.966,152.71
353.163,153.31
353.347,153.63
353.544,152.71
353.733,153.31
354.318,152.71
354.513,152.59
354.702,152.71
354.896,153.31
355.091,153.63
355.279,153.31
355.668,152.95
355.858,153.31
356.249,153.63
356.44,152.59
356.631,152.71
356.821,152.59
357.016,152.91
357.211,152.59
357.401,153.31
357.592,153.63
357.983,152.91
358.17,153.63
358.75,152.91
359.139,153.63
359.329,152.71
359.521,153.23
359.714,153.63
359.909,152.91
360.295,153.63
360.68,153.31
360.876,153.04
361.066,153.63
361.455,152.91
361.647,153.31
361.841,153.63
362.23,152.91
362.613,153.63
362.809,152.91
363.193,153.63
363.385,152.91
363.579,153.63
363.965,152.91
364.159,153.63
364.544,152.91
364.736,153.31
364.932,152.91
365.12,153.63
365.313,152.59
365.505,153.55
365.699,153.31
365.891,152.59
366.083,153.63
366.278,153.31
366.665,153.63
366.858,152.91
367.05,153.31
367.244,153.63
367.436,152.91
367.631,153.31
367.823,152.91
368.016,153.31
368.209,152.91
368.401,153.63
368.79,153.31
369.177,153.87
369.368,153.31
369.562,153.63
369.752,153.04
369.947,153.31
370.139,153.63
370.332,153.31
370.526,153.63
370.717,153.31
371.104,153.63
371.296,153.55
371.492,153.31
371.686,153.63
371.876,152.71
372.072,153.31
373.037,153.63
373.229,152.59
373.421,152.95
373.617,152.91
373.809,153.63
374.001,152.59
374.194,153.63
374.389,152.59
374.582,152.91
374.776,153.27
374.97,153.31
375.167,153.63
375.743,153.31
376.326,152.91
376.517,152.59
376.707,152.95
376.903,152.91
377.678,153.63
378.062,153.31
378.255,152.91
378.447,153.63
378.642,153.31
378.833,152.91
379.028,153.63
379.414,152.59
379.606,153.63
379.8,152.91
379.994,152.59
380.186,153.63
381.539,152.91
381.735,153.63
382.506,152.91
382.702,153.63
382.895,153.31
383.085,153.63
383.474,152.91
383.67,153.63
384.053,152.91
384.251,153.63
384.633,153.04
384.824,153.63
385.408,153.04
385.599,153.63
385.792,152.91
386.181,153.63
386.372,153.31
386.76,153.63
387.149,153.31
387.338,153.63
387.533,153.04
387.728,153.63
388.307,153.31
388.499,153.63
389.077,153.31
389.465,153.63
389.853,153.31
390.043,153.55
390.239,153.31
390.433,153.63
390.818,152.71
391.009,153.31
391.399,153.63
391.588,153.31
391.781,153.63
391.979,153.31
392.56,153.63
392.751,153.31
392.943,153.63
393.135,152.91
393.329,153.63
393.521,153.27
393.712,152.91
393.907,153.31
394.097,153.63
394.293,153.31
394.487,153.63
394.678,153.31
394.874,153.63
395.068,153.31
395.261,153.63
395.453,153.31
395.645,152.91
395.835,153.31
396.031,152.91
396.223,153.63
396.609,152.59
396.803,153.63
396.996,153.31
397.386,152.59
397.576,153.31
397.769,153.63
397.963,153.31
398.158,153.63
398.541,153.31
399.509,152.71
399.7,153.31
399.894,152.71
400.086,153.31
400.474,152.71
400.665,152.59
400.855,153.31
402.017,153.63
402.21,153.31
402.597,152.59
402.79,153.31
403.176,152.71
403.368,153.31
403.757,152.71
403.946,153.55
404.143,153.31
404.528,152.59
404.721,152.71
404.913,153.55
405.103,153.31
405.302,153.87
405.491,153.63
405.684,152.95
405.875,152.91
406.068,153.31
407.229,153.63
407.42,153.31
408.58,152.91
408.777,153.31
409.547,152.59
409.74,153.31
410.317,153.23
410.513,152.71
410.701,153.31
410.897,152.95
411.092,153.31
411.477,153.63
411.864,153.31
412.246,153.63
412.441,153.31
412.827,153.55
413.02,153.31
413.599,152.91
413.791,153.55
413.982,153.31
414.759,153.55
414.948,153.31
415.142,152.91
415.337,153.31
415.531,153.63
415.719,153.31
415.915,153.63
416.107,153.31
416.492,152.95
416.686,152.59
416.878,153.63
417.265,153.55
417.653,152.91
417.849,153.31
418.236,153.55
418.426,153.87
418.622,153.63
418.812,153.31
419.196,153.55
419.388,153.63
419.583,153.55
419.774,153.31
419.967,153.55
420.16,153.31
420.55,153.55
421.127,152.59
421.322,153.55
421.712,152.71
421.899,153.31
422.093,153.63
422.287,153.55
423.835,153.31
424.222,153.55
424.413,152.91
424.608,152.95
424.798,153.63
424.994,153.55
426.152,153.31
426.539,153.55
428.083,153.31
428.275,153.55
429.243,153.23
429.433,153.55
431.175,152.95
431.566,153.55
432.142,153.87
432.334,152.95
432.526,153.55
433.11,152.95
433.497,153.31
433.689,152.95
435.43,152.83
435.621,153.55
435.814,152.95
436.008,153.55
436.588,153.23
437.359,152.95
437.555,152.63
437.749,152.95
437.94,152.63
438.134,152.95
438.329,152.63
438.91,153.23
439.099,152.63
439.485,153.23
439.682,153.55
440.261,152.95
440.644,153.55
440.835,152.95
441.031,152.63
441.224,152.95
441.802,153.55
442,153.23
442.191,152.63
442.387,152.95
442.58,153.55
442.769,152.63
442.964,152.95
443.156,153.55
443.346,152.63
443.541,153.55
443.733,153.23
443.924,152.63
444.117,153.55
444.891,152.95
445.667,153.23
445.857,152.95
446.052,153.55
446.633,153.23
446.822,152.95
447.014,152.63
447.4,152.95
447.593,153.55
447.788,152.95
448.365,152.63
448.753,152.95
449.333,152.63
450.491,152.95
450.685,151.91
450.879,152.63
452.621,152.95
452.814,152.63
453.392,153.55
453.585,152.63
454.166,153.55
454.356,153.23
454.552,152.63
455.908,153.23
456.291,152.95
456.482,153.23
456.675,153.55
457.064,152.63
457.452,152.95
457.837,152.63
458.414,153.23
458.607,152.95
458.801,152.63
459.383,153.23
459.574,152.63
460.349,152.95
460.544,152.63
462.862,152.86
463.052,152.63
463.44,152.86
463.631,152.63
463.826,152.86
464.02,152.63
464.211,152.86
464.405,152.63
466.343,153.23
466.531,152.63
469.435,153.23
469.632,152.63
475.628,152.5
475.819,152.63
476.403,153.23
476.596,152.63
478.143,152.86
478.531,152.63
478.722,152.31
478.913,152.63
482.012,152.31
482.204,152.63
482.979,152.31
483.172,152.63
483.364,152.86
483.558,152.54
483.75,152.63
484.137,153.23
484.331,152.63
485.683,153.23
485.877,152.63
486.264,153.23
486.65,152.86
486.844,152.63
487.229,153.23
487.614,152.63
488.582,153.23
488.774,152.63
489.549,152.31
489.938,152.63
492.255,152.86
492.45,152.31
492.647,152.63
493.032,152.31
493.222,152.63
494.19,152.31
494.383,152.63
494.964,152.31
495.154,152.63
495.54,152.86
495.931,152.63
496.701,152.54
496.894,152.63
497.67,152.31
497.862,152.63
498.055,152.31
498.441,152.63
499.217,152.54
499.406,152.63
499.602,152.31
499.795,152.86
499.988,152.63
500.18,152.31
500.375,152.63
500.569,152.31
501.148,152.54
501.341,152.31
501.533,152.63
501.728,152.31
502.304,152.54
502.691,152.31
504.046,152.63
504.432,152.31
504.627,152.54
504.819,152.31
505.012,153.23
505.209,152.31
505.791,152.54
505.98,152.31
506.558,152.63
507.143,152.31
507.332,152.63
508.302,152.31
508.493,152.63
508.881,152.54
509.268,152.63
509.65,152.86
509.844,152.54
510.038,152.63
510.23,152.86
510.424,152.54
510.808,152.86
511.001,152.54
511.196,152.63
511.388,152.54
511.58,152.31
511.774,152.86
511.965,152.63
512.159,153.23
512.351,152.54
512.544,152.63
512.738,152.86
512.928,152.63
