#,Time (s),Position (m),Position (m)
1,0.02,0.691,0.625
2,0.04,0.689,0.617
3,0.06,0.687,0.607
4,0.08,0.684,0.597
5,0.1,0.68,0.587
6,0.12,0.675,0.577
7,0.14,0.671,0.568
8,0.16,0.667,0.559
9,0.18,0.664,0.551
10,0.2,0.662,0.545
11,0.22,0.66,0.54
12,0.24,0.661,0.538
13,0.26,0.662,0.537
14,0.28,0.664,0.537
15,0.3,0.668,0.54
16,0.32,0.672,0.544
17,0.34,0.676,0.55
18,0.36,0.681,0.558
19,0.38,0.684,0.566
20,0.4,0.688,0.576
21,0.42,0.69,0.586
22,0.44,0.691,0.596
23,0.46,0.691,0.606
24,0.48,0.689,0.615
25,0.5,0.686,0.624
26,0.52,0.683,0.631
27,0.54,0.679,0.637
28,0.56,0.675,0.642
29,0.58,0.67,0.645
30,0.6,0.667,0.646
31,0.62,0.664,0.645
32,0.64,0.662,0.642
33,0.66,0.661,0.637
34,0.68,0.661,0.631
35,0.7,0.663,0.624
36,0.72,0.666,0.615
37,0.74,0.669,0.606
38,0.76,0.673,0.596
39,0.78,0.677,0.586
40,0.8,0.682,0.576
41,0.82,0.685,0.567
42,0.84,0.688,0.558
43,0.86,0.69,0.551
44,0.88,0.691,0.545
45,0.9,0.69,0.54
46,0.92,0.688,0.538
47,0.94,0.686,0.537
48,0.96,0.682,0.538
49,0.98,0.678,0.541
50,1,0.673,0.545
51,1.02,0.669,0.551
52,1.04,0.666,0.559
53,1.06,0.663,0.568
54,1.08,0.661,0.577
55,1.1,0.66,0.587
56,1.12,0.661,0.597
57,1.14,0.663,0.607
58,1.16,0.666,0.617
59,1.18,0.67,0.625
60,1.2,0.674,0.633
61,1.22,0.678,0.639
62,1.24,0.682,0.643
63,1.26,0.686,0.646
64,1.28,0.689,0.646
65,1.3,0.69,0.645
66,1.32,0.691,0.642
67,1.34,0.69,0.638
68,1.36,0.688,0.631
69,1.38,0.685,0.624
70,1.4,0.681,0.615
71,1.42,0.677,0.605
72,1.44,0.673,0.595
73,1.46,0.669,0.585
74,1.48,0.665,0.575
75,1.5,0.663,0.566
76,1.52,0.661,0.557
77,1.54,0.661,0.55
78,1.56,0.662,0.544
79,1.58,0.664,0.54
80,1.6,0.667,0.537
81,1.62,0.671,0.537
82,1.64,0.675,0.538
83,1.66,0.679,0.541
84,1.68,0.683,0.546
85,1.7,0.687,0.552
86,1.72,0.689,0.56
87,1.74,0.691,0.569
88,1.76,0.691,0.578
89,1.78,0.69,0.588
90,1.8,0.687,0.598
91,1.82,0.684,0.608
92,1.84,0.68,0.617
93,1.86,0.676,0.626
94,1.88,0.672,0.633
95,1.9,0.668,0.639
96,1.92,0.664,0.643
97,1.94,0.662,0.645
98,1.96,0.661,0.646
99,1.98,0.661,0.644
100,2,0.662,0.641
101,2.02,0.664,0.636
102,2.04,0.668,0.63
103,2.06,0.671,0.622
104,2.08,0.676,0.613
105,2.1,0.68,0.604
106,2.12,0.684,0.594
107,2.14,0.687,0.584
108,2.16,0.689,0.574
109,2.18,0.691,0.565
110,2.2,0.69,0.557
111,2.22,0.689,0.55
112,2.24,0.687,0.544
113,2.26,0.683,0.54
114,2.28,0.679,0.538
115,2.3,0.675,0.537
116,2.32,0.671,0.539
117,2.34,0.667,0.542
118,2.36,0.664,0.547
119,2.38,0.662,0.553
120,2.4,0.661,0.561
121,2.42,0.661,0.57
122,2.44,0.663,0.579
123,2.46,0.665,0.589
124,2.48,0.669,0.599
125,2.5,0.673,0.609
126,2.52,0.677,0.618
127,2.54,0.681,0.627
128,2.56,0.685,0.633
129,2.58,0.688,0.639
130,2.6,0.69,0.643
131,2.62,0.691,0.645
132,2.64,0.69,0.645
133,2.66,0.689,0.644
134,2.68,0.686,0.64
135,2.7,0.682,0.635
136,2.72,0.678,0.629
137,2.74,0.674,0.621
138,2.76,0.67,0.612
139,2.78,0.666,0.602
140,2.8,0.663,0.592
141,2.82,0.661,0.583
142,2.84,0.661,0.573
143,2.86,0.661,0.564
144,2.88,0.663,0.556
145,2.9,0.666,0.549
146,2.92,0.669,0.543
147,2.94,0.673,0.539
148,2.96,0.678,0.537
149,2.98,0.682,0.537
150,3,0.686,0.539
151,3.02,0.688,0.542
152,3.04,0.69,0.547
153,3.06,0.691,0.554
154,3.08,0.69,0.562
155,3.1,0.688,0.571
156,3.12,0.685,0.58
157,3.14,0.682,0.59
158,3.16,0.678,0.6
159,3.18,0.673,0.61
160,3.2,0.669,0.619
161,3.22,0.666,0.627
162,3.24,0.663,0.634
163,3.26,0.661,0.639
164,3.28,0.661,0.643
165,3.3,0.662,0.645
