time,I
0.154,242.29
0.353,240.23
0.553,234.37
0.751,229.25
0.949,228.93
1.148,225.48
1.344,225.43
1.545,224.42
1.742,222.95
1.939,235.64
2.139,246.8
2.336,245.98
2.532,253.34
2.737,252.42
2.93,253.02
3.323,259.32
4.116,260.61
4.323,258.07
4.512,260.8
4.71,266.11
4.907,262.78
5.106,248.89
5.304,251.07
5.5,258.2
5.699,263.74
5.899,269.24
6.095,272.16
6.301,272.35
7.28,273.64
11.437,272.35
13.614,271.06
14.009,272.35
14.799,271.06
14.997,273.95
15.192,274.89
15.392,272.35
15.589,273.95
15.798,271.06
15.984,273.95
16.183,274.89
16.577,272.35
16.784,273.95
17.171,274.89
17.369,273.95
17.568,272.35
18.159,275.24
18.359,274.89
19.15,273.95
19.346,274.89
19.742,273.95
19.945,274.89
22.316,273.95
22.519,274.89
23.313,273.95
23.897,274.89
24.294,273.95
24.492,274.89
27.261,272.5
27.461,274.89
27.856,273.95
28.052,274.89
29.835,273.95
30.032,274.89
31.021,273.95
31.218,274.89
31.418,273.95
31.612,274.89
32.207,273.95
32.405,274.89
33.196,273.95
33.592,274.89
34.385,273.95
34.78,274.89
35.177,273.95
35.966,274.89
36.559,273.95
36.756,274.89
37.349,272.5
37.547,273.95
38.34,274.89
38.536,272.5
38.741,273.95
42.494,271.56
42.692,273.95
42.892,272.5
43.086,273.95
43.88,272.5
44.076,273.95
44.475,271.56
44.669,273.95
44.867,271.56
45.063,272.5
45.263,273.95
45.461,271.56
46.056,272.5
47.638,273.95
48.031,272.5
48.625,273.95
48.823,271.56
49.017,273.95
49.415,272.5
49.812,271.56
50.01,273.95
50.212,271.56
50.403,272.5
50.999,271.56
51.194,272.5
51.397,271.56
51.589,272.5
51.986,274.89
52.184,272.5
53.174,273.95
53.569,272.5
54.361,274.89
54.559,272.5
55.155,271.22
55.35,272.5
56.141,271.22
56.536,272.5
57.33,271.22
57.525,272.5
58.119,271.22
58.911,272.5
59.109,271.22
63.856,269.93
64.054,271.22
64.451,269.93
64.648,271.22
64.846,269.93
65.242,271.22
65.836,269.93
66.23,270.87
66.43,269.93
67.02,270.87
67.221,269.93
67.417,270.87
67.616,269.93
67.813,270.87
68.615,269.93
69.007,270.87
69.195,269.93
69.397,270.87
69.593,269.93
70.188,270.87
70.982,269.93
71.572,270.87
71.767,269.93
71.967,271.22
72.563,269.93
72.762,271.22
73.551,269.93
74.144,271.22
74.351,269.93
75.133,271.22
75.73,269.93
76.32,271.22
76.716,269.93
78.297,270.87
78.495,269.93
79.285,270.87
79.488,269.93
80.475,270.87
80.868,269.93
81.466,270.87
81.859,269.93
82.055,271.22
82.253,269.93
82.65,270.87
82.847,269.93
83.047,271.22
83.241,269.93
83.835,270.87
84.033,269.93
84.825,270.87
85.023,269.93
85.221,271.22
85.417,269.93
87.399,271.22
87.792,269.93
88.385,271.22
88.78,269.93
89.571,271.22
89.969,269.93
90.167,271.22
91.354,269.93
91.755,271.22
92.344,269.93
92.54,271.22
92.738,269.93
92.936,271.22
93.531,269.93
93.726,271.22
95.705,269.93
95.902,271.22
96.497,269.93
99.664,272.82
99.861,271.53
100.259,272.82
100.454,271.53
101.047,269.14
101.244,271.53
101.641,269.14
102.035,270.08
102.435,269.14
103.224,270.08
103.422,269.14
104.211,270.08
104.611,269.14
105.206,268.8
105.597,270.08
105.793,269.14
105.993,268.8
107.972,267.86
108.168,268.8
108.96,267.86
109.356,268.8
109.95,267.86
110.147,268.8
110.343,267.86
110.544,268.8
110.94,267.86
111.531,268.8
112.131,267.86
112.522,268.8
113.115,267.86
113.512,270.74
113.708,270.4
120.045,268.01
120.238,266.72
121.029,268.01
121.229,266.72
129.932,265.43
131.32,266.37
131.717,265.43
132.113,267.98
133.299,265.59
134.092,267.98
134.288,265.59
135.076,267.98
135.278,265.59
135.87,267.98
137.256,265.09
