time,I
0.05,137.95
0.25,136.34
0.448,137.76
0.648,138.36
0.845,138.04
1.044,137.64
1.642,138.36
2.036,137.08
2.233,137.64
2.437,137.32
2.633,137.72
2.835,137.44
3.033,136.67
3.229,137.04
3.628,138.04
3.824,138.24
4.021,135.79
4.22,137.59
4.421,144.61
4.619,140.77
4.816,138.56
5.015,143.93
5.21,145.17
5.41,145.49
5.609,145.58
5.808,145.54
6.003,145.86
6.202,146.15
6.402,145.95
6.6,145.63
6.796,146.27
6.992,130.08
7.19,129.84
7.388,130.54
7.588,131.51
7.793,132.89
7.988,134.51
8.186,133.96
8.586,134.28
8.78,134.19
8.979,134.59
9.771,133.96
9.969,134.28
10.168,134.68
10.365,133.96
11.155,134.88
11.358,134.28
11.558,134.55
11.754,133.96
12.15,134.28
12.345,133.96
12.549,134.91
12.745,134.19
12.945,134.28
13.34,133.96
13.539,134.28
14.135,133.96
14.526,134.68
14.922,133.96
15.122,134.68
15.319,133.96
15.72,134.19
15.919,133.96
16.906,134.68
17.105,133.96
17.303,135.24
17.5,134.91
17.896,134.68
18.492,134.91
18.691,134.19
18.886,134.68
19.085,134.28
19.287,133.96
19.682,134.19
19.881,134.68
20.076,134.91
20.673,134.68
21.07,134.28
21.267,134.68
21.466,133.96
21.661,134.91
21.864,133.96
22.062,134.68
22.26,133.96
22.455,134.68
22.652,133.96
22.852,134.68
23.053,133.96
23.25,134.91
23.448,134.68
23.644,135
23.844,134.68
24.045,134.59
24.24,134.91
24.438,134.68
24.636,134.19
24.836,134.36
25.036,134.91
25.231,134.68
25.628,134.91
25.825,134.68
26.42,133.96
26.817,134.68
27.413,134.59
27.611,134.68
28.797,134.59
28.994,134.91
29.192,134.59
30.585,134.27
31.177,134.59
31.574,134.27
31.774,134.59
31.971,134.27
32.368,134.59
32.565,134.27
32.762,134.59
33.361,134.27
33.557,134.59
33.955,134.27
34.745,133.67
36.132,133.35
36.33,133.67
36.527,133.35
36.727,133.67
36.927,134.27
37.124,133.67
37.718,134.27
37.918,133.67
38.312,134.39
38.51,133.35
38.709,134.27
39.105,133.67
39.303,134.07
39.501,133.67
39.7,134.31
40.094,134.07
40.691,133.35
40.886,134.07
41.282,133.99
41.482,134.31
41.679,134.07
41.878,134.31
42.074,133.26
42.274,134.31
42.871,134.07
43.66,134.31
44.06,134.07
44.454,134.31
45.255,134.07
45.642,133.75
46.042,133.99
46.433,134.31
46.633,133.75
46.832,133.99
49.607,133.67
50.401,134.39
50.597,133.67
50.795,133.99
50.992,133.67
51.394,133.39
51.591,134.07
51.788,133.47
51.985,133.67
52.184,133.79
52.384,133.47
52.584,134.39
52.78,133.79
52.975,133.47
53.372,133.79
53.57,133.47
53.768,133.7
53.964,133.47
54.165,133.7
54.958,133.38
55.155,133.7
55.548,133.47
55.948,133.38
56.342,133.7
56.54,133.15
56.739,133.38
57.135,133.15
57.333,133.38
58.521,133.06
58.914,132.46
59.112,132.78
59.315,133.18
59.511,132.46
59.707,133.18
60.302,132.86
60.891,132.78
61.689,132.45
61.884,132.58
62.482,132.26
63.077,131.94
63.274,132.89
63.669,131.97
64.461,131.65
65.45,132.37
65.647,132.05
65.846,131.97
66.045,132.05
66.241,131.57
66.442,131.69
66.838,131.37
67.235,131.69
67.431,132.05
67.63,131.33
67.824,131.69
68.225,131.29
68.42,131.33
68.617,130.73
68.815,131.69
69.018,130.97
69.214,131.69
69.41,131.37
69.805,130.97
70.201,131.69
70.399,131.37
70.596,131.46
70.797,131.13
70.995,131.46
71.192,131.37
72.581,131.05
72.779,131.37
73.567,131.69
73.765,131.37
74.161,131.05
75.947,130.77
76.146,131.05
76.538,130.13
76.736,130.45
76.934,131.05
77.527,130.36
77.925,130.96
78.319,130.36
78.518,130.04
78.718,130.36
78.915,130.04
79.114,130.36
79.311,131.08
79.51,130.76
79.904,131.08
80.1,130.76
80.498,130.04
80.697,130.76
81.091,130.44
81.29,130.76
81.883,130.44
82.082,130.68
82.281,130.08
82.479,130.68
82.677,130.44
82.875,130.68
83.071,130.76
83.269,131
83.468,130.08
83.866,129.76
84.064,130.36
84.261,130.08
84.456,129.76
85.054,130.08
85.252,130.48
85.446,130.16
85.843,130.48
86.043,130.16
86.438,130.48
86.638,130.16
88.218,130.48
88.421,130.16
88.615,130.07
88.812,129.84
89.01,130.07
89.606,130.39
89.804,130.07
90.394,129.75
90.593,129.8
90.79,130.07
90.99,129.84
91.192,129.47
91.587,129.15
92.378,129.47
92.575,129.15
93.567,129.47
93.961,129.55
94.159,128.83
94.358,129.87
94.557,129.55
94.757,129.15
94.953,129.55
95.148,128.83
95.348,129.79
95.547,129.55
95.744,129.79
95.941,129.55
96.539,129.79
96.736,130.11
96.934,129.55
97.131,129.87
97.329,129.55
97.528,129.87
97.723,129.55
97.922,129.87
98.123,129.55
98.518,129.79
98.715,129.23
98.915,129.19
99.115,129.47
99.311,129.19
99.507,128.87
99.707,129.47
99.903,129.19
100.1,129.79
100.298,129.19
100.497,129.47
100.695,128.87
100.892,129.47
101.088,129.79
101.684,128.87
101.881,129.47
102.079,128.55
102.277,128.87
102.478,128.55
103.07,128.87
103.666,128.55
104.26,128.87
104.458,128.55
105.25,128.46
105.642,129.18
105.844,128.46
106.039,127.9
106.238,128.23
106.436,128.91
106.635,128.46
107.032,128.14
107.227,129.18
107.424,128.46
107.823,129.18
108.018,128.46
108.216,128.86
108.416,128.46
108.614,129.18
108.812,128.46
109.01,129.18
109.205,128.46
109.405,128.86
109.604,129.18
109.8,128.46
110.192,129.18
110.391,128.23
110.596,127.54
110.79,128.14
110.986,127.86
111.184,128.23
111.387,128.86
111.782,128.46
111.98,128.26
112.178,129.18
112.378,128.26
112.573,129.1
112.772,128.26
112.972,128.54
113.169,128.5
113.366,128.26
113.563,128.18
114.157,128.5
114.951,128.18
115.146,128.5
115.545,127.94
115.741,128.18
116.134,128.14
116.337,128.26
116.533,128.18
116.729,128.5
116.927,127.94
117.125,128.18
117.327,127.86
117.918,128.18
119.107,127.86
119.502,127.26
119.699,127.86
119.899,127.53
120.098,127.86
120.295,128.18
120.491,127.86
121.882,128.18
122.277,127.86
122.472,127.26
122.674,126.94
123.268,127.53
123.466,126.94
123.664,127.26
124.057,126.94
124.457,127.53
124.851,126.94
125.047,126.61
125.246,127.26
125.443,126.94
125.839,127.26
126.039,126.94
126.237,127.17
126.631,126.94
126.83,127.17
127.029,126.94
127.824,127.17
128.612,127.57
128.81,126.85
129.009,127.89
129.401,126.85
129.799,127.89
129.998,127.57
130.195,127.89
130.591,126.85
130.789,127.57
131.183,127.89
131.778,127.57
132.377,127.25
132.572,127.89
132.769,127.57
133.365,127.25
133.562,127.57
134.157,127.25
134.55,127.49
134.754,127.25
135.145,127.49
135.342,127.16
135.542,127.49
135.739,126.57
135.938,127.49
136.135,126.65
136.333,127.25
136.727,126.57
136.926,127.57
137.124,127.49
137.522,127.25
137.718,127.49
137.915,127.16
138.114,127.49
138.313,127.25
138.708,127.81
139.104,127.16
139.502,126.57
139.698,127.21
139.898,126.89
140.094,127.16
140.296,126.89
140.492,126.57
140.889,126.89
141.087,126.57
141.284,126.89
141.482,126.57
141.679,126.89
142.472,126.57
145.044,126.8
145.242,126.57
145.442,126.24
145.64,126.57
