time,I
0.031,76.75
0.229,73.1
0.429,71.61
0.628,77.04
0.828,76.07
1.024,42.44
1.221,36.43
1.429,24.42
1.619,27.09
1.818,37.23
2.014,38.44
2.218,39.46
2.409,47.68
2.607,47.05
2.806,46.36
3.004,47.37
3.203,44.24
3.401,36.63
3.599,31.35
3.796,27.86
3.993,27.78
4.194,38.46
4.388,47.77
4.586,42.43
4.783,38.37
4.98,37.48
5.177,33.91
5.381,26.05
5.575,22.71
5.772,20.16
5.971,20.44
6.167,19.47
6.37,18.46
6.763,20.13
6.959,22.11
7.158,22.49
7.355,25.36
7.56,27.35
7.753,30.8
7.949,32.09
8.145,33.15
8.344,43.82
8.542,57.34
8.738,70.56
8.937,72.95
9.135,72.55
9.333,72.95
9.529,73.24
9.728,75.83
9.924,76.84
10.123,76.92
10.32,77.24
10.518,77.21
10.913,77.61
11.311,76.61
11.513,77.53
11.708,78.13
11.904,77.9
12.105,78.22
12.299,76.73
12.497,75.43
12.692,76.03
12.892,76.4
13.089,76.73
13.288,77.1
13.483,78.1
13.69,77.47
13.88,78.71
14.079,78.79
14.671,78.16
15.464,78.48
15.66,78.16
15.858,78.48
17.045,78.16
17.638,78.48
19.025,79.08
19.221,78.48
19.418,79.08
19.615,78.48
19.816,79.08
20.212,79.4
20.607,79.08
20.805,79.4
21.199,79.08
21.594,78.48
21.79,79.4
21.991,78.48
22.189,79.08
22.387,78.48
22.979,79.08
23.375,78.48
25.164,78.16
25.354,78.48
31.684,78.16
32.476,78.88
33.071,78.56
33.267,78.79
33.662,78.56
34.453,77.64
34.655,77.87
34.849,78.6
35.247,77.95
35.641,78.67
36.037,78.08
36.235,77.76
36.629,77.67
37.025,77.35
37.225,78.07
37.425,77.15
37.817,76.83
38.409,76.87
38.607,76.54
38.808,76.95
39.2,76.03
39.399,76.26
39.598,76.66
39.797,76.34
39.994,75.74
40.19,75.42
40.388,75.82
40.787,75.5
40.982,75.14
41.184,75.54
41.376,75.22
41.773,74.3
42.365,74.53
42.763,74.62
42.959,74.3
43.157,74.62
43.354,75.22
43.947,74.53
44.147,74.3
44.343,74.53
44.54,74.93
45.135,74.61
