time,I
0.064,179.04
0.263,174.99
0.462,169.75
0.66,158.82
0.858,82.15
1.056,94.82
1.255,101.49
1.455,100.84
1.656,80.07
1.848,60.81
2.046,53.34
2.245,49.16
2.449,47.57
2.643,43.87
2.84,59.94
3.039,88.7
3.237,106.63
3.432,116.26
3.631,116.6
3.827,119.88
4.029,130.31
4.224,141.9
4.421,145.72
4.621,142.17
4.818,179.55
5.018,181.25
5.214,176.94
5.411,165.57
5.608,177.09
5.806,180.56
6.005,179.91
6.4,180.32
6.6,180.96
6.796,181.56
6.998,180.6
7.192,180.64
7.391,180.96
7.587,176.74
7.787,155.06
7.983,155.43
8.182,156.53
8.377,158.83
8.584,159.21
8.773,159.81
8.975,159.82
9.169,159.9
9.37,160.5
9.563,159.58
9.763,160.5
9.958,159.58
10.16,160.22
10.354,159.58
10.551,160.22
10.752,159.26
11.148,159.58
11.345,160.22
11.937,160.3
12.136,160.26
12.331,160.59
13.719,160.26
13.914,159.9
14.114,160.59
14.311,159.86
14.507,160.59
15.5,159.86
15.694,160.27
15.893,160.19
16.092,160.59
16.298,159.9
16.485,160.18
16.683,159.9
16.881,160.3
17.08,159.58
17.277,159.9
17.676,159.58
17.87,160.18
18.067,160.3
18.264,160.26
18.467,160.5
18.661,160.59
19.258,160.26
19.453,159.49
19.649,159.58
20.046,160.26
20.251,160.59
20.44,159.58
20.639,160.5
20.837,160.3
21.038,160.18
21.431,160.59
21.627,160.26
21.825,160.59
22.222,160.5
22.419,159.9
22.617,159.98
22.815,160.5
23.015,159.58
23.209,160.22
23.407,159.58
23.605,160.59
23.805,160.26
24.199,160.59
24.394,160.5
24.594,160.59
24.791,160.67
24.989,159.95
25.186,160.26
25.388,159.98
25.782,160.3
26.185,160.26
26.374,159.26
26.768,159.98
27.166,160.22
27.365,160.26
27.56,160.3
27.761,159.98
27.955,160.3
28.155,159.98
28.349,160.22
28.551,159.98
28.746,160.3
28.951,159.67
29.141,160.26
29.34,160.39
29.537,160.3
29.736,159.58
29.932,159.98
30.526,159.89
30.724,159.67
31.121,159.89
31.318,159.57
31.517,159.98
32.307,159.3
32.506,159.98
32.701,159.3
32.9,158.97
33.096,159.98
33.297,159.66
33.494,158.74
33.691,159.06
33.888,159.66
34.283,159.06
34.484,159.98
34.681,160.38
34.883,159.78
35.275,159.46
35.474,159.38
35.669,159.46
35.867,160.1
36.064,159.46
36.264,159.38
36.461,159.78
36.659,159.38
36.856,159.78
37.064,159.18
37.25,160.1
37.45,159.5
37.647,159.18
37.85,159.26
38.043,159.86
38.24,158.86
38.439,158.94
38.636,159.26
38.833,159.26
39.034,158.57
39.229,159.18
39.427,159.49
39.625,158.57
40.022,159.26
40.218,158.57
40.415,158.25
40.614,158.65
40.812,158.57
41.009,159.58
41.206,159.26
41.405,158.34
41.799,158.05
41.999,158.65
42.196,158.97
42.394,158.74
42.59,158.05
42.79,158.45
43.185,158.05
43.38,158.13
43.58,158.05
43.975,157.76
44.172,157.81
44.378,158.17
44.568,157.85
44.767,157.76
44.962,157.57
45.16,157.48
45.358,157.57
45.953,157.24
46.148,157.57
46.348,157.85
46.544,157.57
47.139,157.33
47.335,157.57
47.536,157.24
47.731,157.33
47.929,157.65
48.126,157.33
48.327,157.24
48.523,156.96
49.116,157.28
49.317,156.87
49.718,156.55
49.908,156.64
50.106,156.96
50.303,157.05
50.5,156.64
51.49,156.96
52.279,156.64
52.479,156.73
52.676,156.64
52.876,155.95
53.073,157.27
53.272,156.64
53.467,156.44
53.667,156.36
54.257,156.03
54.852,156.27
55.052,155.35
55.247,156.27
55.643,156.03
55.841,156.36
56.042,156.03
56.436,155.71
56.632,156.67
56.833,155.75
57.028,155.43
57.823,155.34
58.015,155.43
58.213,155.14
58.809,155.11
59.005,155.14
59.796,153.9
59.994,154.63
60.191,154.95
60.389,154.86
60.982,154.63
61.377,154.95
61.577,154.54
61.773,153.62
61.973,154.58
62.17,154.34
62.369,154.94
62.567,154.54
62.962,154.26
63.555,153.62
63.753,154.26
64.344,153.93
64.742,154.02
65.336,153.61
65.534,154.33
65.729,153.93
65.93,153.61
66.126,153.7
66.324,153.34
66.52,153.7
66.72,154.66
66.917,153.93
67.116,154.02
67.313,154.34
67.512,153.93
67.707,154.34
67.903,153.7
68.104,154.02
68.497,153.93
69.289,153.61
69.683,153.93
70.079,153.7
70.476,153.74
71.267,153.61
71.476,153.01
71.663,153.74
71.861,153.42
72.058,153.33
72.259,153.42
72.652,153.33
72.848,152.73
73.052,153.01
73.245,153.13
73.841,153.09
74.235,154.05
74.431,153.13
75.025,152.81
75.423,153.05
76.013,152.72
76.211,152.81
77.002,152.72
77.203,151.8
77.398,152.53
77.602,152.4
77.795,151.8
77.992,152.53
78.389,151.84
78.584,152.12
78.783,151.52
79.179,151.2
79.377,151.92
79.576,151.2
79.781,151.92
79.975,151.83
80.169,151.92
80.569,151.6
80.959,151.24
81.155,151.6
81.356,150.92
82.146,150.59
82.345,151.32
82.937,150.63
83.532,150.31
85.514,150.91
85.708,150.31
87.289,150.55
87.485,150.31
88.08,150.91
88.279,150.22
89.072,150.95
89.269,150.62
89.464,149.9
89.859,150.03
90.059,149.94
90.254,150.26
90.453,149.94
90.649,150.62
90.85,150.26
91.047,150.03
91.837,149.94
92.035,150.03
92.434,149.62
92.628,150.03
93.025,149.7
93.616,149.62
94.013,149.94
94.212,150.03
94.407,149.94
95.4,149.7
95.595,149.94
96.582,149.62
96.786,149.94
96.983,149.62
98.368,149.3
98.956,148.7
99.357,149.3
99.555,148.7
100.749,149.42
100.938,149.1
101.137,149.01
102.323,148.42
102.726,149.01
102.916,148.69
103.116,148.42
103.313,148.09
103.511,148.33
104.103,148.73
104.303,148.96
104.502,148.64
105.093,148.32
105.292,148.73
105.489,148.41
105.883,148.73
106.28,148.64
106.477,148.41
106.674,147.69
106.874,148.64
107.268,148.41
107.465,147.72
107.865,147.4
108.059,147.72
108.652,147.4
109.047,147.72
110.237,147.49
110.431,147.72
110.826,148.05
111.03,147.81
111.422,148.05
111.618,147.81
112.013,147.72
112.211,148.05
112.609,147.72
113.202,147
113.4,147.72
113.595,147.92
113.795,147.72
113.992,148.64
114.191,147.72
114.386,148.05
114.588,147.72
116.366,148.64
116.561,148.41
116.758,147.72
116.959,148.64
117.154,147.4
117.356,147.72
118.145,148.64
118.343,147.72
118.739,147.6
118.938,147.64
119.925,147.32
120.122,147.64
120.518,147.32
121.506,146.99
121.705,146.72
121.903,147.64
