time,I
0.212,124.39
0.411,123.97
0.609,133.31
0.808,137.06
1.005,138.63
1.205,128.4
1.402,123.31
1.604,122.07
1.8,140.85
1.995,141.77
2.196,141.09
2.394,140.8
2.592,139.19
2.786,137.84
2.991,134.85
3.184,133.13
3.385,130.85
3.584,124.89
3.778,100.96
3.975,73.98
4.171,50.1
4.37,63.88
4.57,54.87
4.767,66.72
4.964,52.48
5.162,63.32
5.36,69.43
5.558,68.55
5.753,68.09
5.952,74.39
6.15,74.97
6.348,72.06
6.547,68.22
6.746,65.68
6.943,65.4
7.139,63.78
7.336,63.46
7.534,61.93
7.732,65.65
7.939,74.69
8.126,95.68
8.324,111.74
8.522,111.65
8.727,108.69
8.915,110.39
9.117,67.68
9.312,45.62
9.512,39.32
9.706,21.33
9.905,22.95
10.101,35.57
10.498,24.81
10.698,17.6
10.894,19.26
11.094,18.89
11.29,18.69
11.486,18.97
11.688,21.61
11.883,28.47
12.082,35.74
12.278,41
12.48,76.51
12.674,129.61
12.873,140.01
13.069,144.33
13.268,144.65
13.468,142.48
13.661,122.81
13.862,123.13
14.059,123.73
14.26,126.32
14.456,146.28
14.651,146.37
14.849,146.6
15.049,146.69
15.244,146.37
15.447,145.96
15.838,146.68
16.034,146.32
16.233,145.39
16.43,124.83
16.63,123.77
16.826,124.18
17.025,124.78
17.222,124.55
17.421,125.88
17.616,125.97
17.816,126.57
18.012,126.86
18.212,126.62
18.408,126.94
19,127.27
19.199,126.94
20.98,126.62
21.374,126.94
21.58,126.62
21.966,126.94
22.562,126.62
23.154,126.86
23.354,126.62
23.55,126.86
23.752,126.54
23.947,126.98
24.145,126.86
24.342,125.94
24.54,126.66
24.935,126.54
25.133,127.58
25.332,125.94
25.529,126.66
26.321,126.34
26.912,126.66
27.11,126.34
28.693,126.02
29.292,126.25
29.483,126.02
30.08,126.25
30.275,126.02
30.473,126.25
30.67,126.38
30.871,126.65
31.065,126.05
32.055,125.73
33.636,125.65
34.03,125.41
