"","numPoints","y2","y3","dy","dyy","dy2","dyy2","ydy","ydyy","NA"
"1",50,0,0.800028926328787,0,-0.110584060072564,0,0,0,0,NA
"2",100,0,0.44375252617699,-0.0468583652785772,-0.510188939910266,0,0,0,0,NA
"3",150,0.221524805575545,0.26757999163482,-0.0840915559043946,-0.709439205207255,-0.0477960911547544,0,0.0331473681650824,0.257974503196121,NA
"4",200,0,0.464172890346026,-0.0168658742264691,-0.529867943725332,0,0,0,0,NA
"5",250,0.259161906614042,0.182310447882891,-0.0579970318296089,-0.793364204924178,-0.123918690054056,0.21584384063141,-0.00194135312177349,0.540652297428668,NA
"6",300,0,0.553120410619639,-0.00240179112521001,-0.446793941559756,-0.00972475508121205,-0.0231265917488204,0,0,NA
"7",350,0.0888151839977847,0.358161021335675,-0.0369441844598224,-0.644377490711942,-0.0957623211999745,0.13885838610514,0.0188971502222708,0.269401784237658,NA
"8",400,0.249873640465515,0.272675196639865,-0.0279941187535589,-0.738962667743576,-0.0468613234429031,0.122029818111783,-0.00119370138070577,0.432933197651302,NA
"9",450,0.123392242315523,0.331498912529348,-0.0195255297416195,-0.675541728264743,-0.0867423173281439,0,0.0108160901667927,0.204301304532027,NA
"10",500,0,0.414452759476867,-0.0125719058114005,-0.597013522432632,-0.073405639320049,-0.00844795534104456,0,0.0699224116836687,NA
"11",550,0.126441902063047,0.310888501314229,-0.0178427219371121,-0.701549566223596,-0.105206404034478,0.148295836837311,0,0.363520689299242,NA
"12",600,0.330231043470355,0.169226395434357,-0.0238858639197597,-0.839450907613917,0,0,0.0280224671557081,0.339441835980981,NA
"13",650,0.235248095395762,0.338947350416347,-0.0144000004178767,-0.669730761210745,0,0.178677994501219,0.0056484033490385,0.41224744451183,NA
"14",700,0.239194413170329,0.369124702646543,-0.0121782252757858,-0.654922905654379,0.0287865594194251,0.337831731461848,0.00501498760105058,0.51073139055264,NA
"15",750,0,0.396323786208634,0,-0.581484170905103,0,0,0,0,NA
"16",800,0.128517527060044,0.216189019947012,-0.0226131998589163,-0.781058142128961,-0.206370619679021,0.165813523745719,8.89104024331611e-05,0.491043458601494,NA
"17",850,0.274398432415833,0.282565448752338,-0.0143523500858061,-0.731517087886009,0,0.209883423732135,0.00402945828946651,0.496512957237042,NA
"18",900,0.188388946226986,0.366454269782212,-0.00789227272884567,-0.638557532283537,0,0.0512188356582177,0.0127078205634352,0.250308824486367,NA
"19",950,0,0.554370237497127,-0.000555713449482572,-0.454699432885413,-0.048141243106787,0.0188287615411637,0.000185677210605598,0.0616732839612725,NA
"20",1000,0.255062477054803,0.289610375377095,-0.0010629269826037,-0.722299307347514,0,0.367231229187161,0.0199210778667103,0.572888665140859,NA
